,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Stokmarknes,68.56,275.68,51,0,8.7,2020-10-30 22:21:47
1,Kulhudhuffushi,6.62,300.82,73,10,3.46,2020-10-30 22:21:48
2,Ribeira Grande,38.52,294.15,94,75,7.7,2020-10-30 22:20:21
3,Ushuaia,-54.8,283.15,71,75,10.3,2020-10-30 22:19:34
4,Hilo,19.73,299.91,66,40,4.1,2020-10-30 22:19:58
5,Mitú,1.2,299.77,92,98,0.79,2020-10-30 22:21:48
6,Saint Paul Harbor,57.79,274.15,69,90,2.1,2020-10-30 22:20:07
7,Henties Bay,-22.12,286.48,85,86,2.48,2020-10-30 22:21:49
8,Muros,42.78,289.26,84,33,3.13,2020-10-30 22:21:49
9,New Norfolk,-42.78,286.56,69,0,0.45,2020-10-30 22:19:55
10,Tuktoyaktuk,69.45,260.15,84,75,4.1,2020-10-30 22:20:01
11,Nyzhni Sirohozy,46.85,283.58,79,83,2.55,2020-10-30 22:21:49
12,Narsaq,60.92,269.15,73,40,1.5,2020-10-30 22:21:49
13,Barrow,71.29,263.15,85,90,5.7,2020-10-30 22:19:55
14,Punta Arenas,-53.15,284.98,62,75,13.9,2020-10-30 22:20:12
15,Laredo,27.51,296.15,28,1,2.6,2020-10-30 22:19:29
16,Ifanadiana,-21.3,287.48,93,41,0.71,2020-10-30 22:21:50
17,Rikitea,-23.12,297.66,67,0,3.36,2020-10-30 22:20:00
18,Katsuura,35.13,285.42,58,20,6.2,2020-10-30 22:21:50
19,Jamestown,42.1,274.73,92,90,1.5,2020-10-30 22:20:04
20,George Town,5.41,299.41,94,20,1.5,2020-10-30 22:20:20
21,Busselton,-33.65,288.18,68,15,1.19,2020-10-30 22:20:15
22,Saint-Philippe,-21.36,290.23,77,40,2.6,2020-10-30 22:20:04
23,Nanortalik,60.14,271.4,92,99,2.71,2020-10-30 22:21:50
24,Taicheng,38.73,278.73,70,54,2.4,2020-10-30 22:21:51
25,Sorong,-0.88,300.21,82,49,5.4,2020-10-30 22:20:41
26,Athmallik,20.72,292.87,62,68,1.57,2020-10-30 22:21:51
27,Yellowknife,62.46,265.47,85,75,3.1,2020-10-30 22:19:03
28,Atuona,-9.8,298.6,72,87,4.89,2020-10-30 22:15:10
29,Thompson,55.74,266.15,67,90,1.5,2020-10-30 22:20:09
30,Buala,-8.14,301.6,71,62,0.39,2020-10-30 22:21:51
31,Los Llanos de Aridane,28.66,291.17,73,0,2.1,2020-10-30 22:21:51
32,Provideniya,64.38,268.98,91,98,3.38,2020-10-30 22:20:09
